"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"4237",1.07824188385278e-31,-0.426440751154203,1,1,5.3912094192639e-28,"NMF_4","4237","MFAP2"
"5920",2.09303246779541e-27,0.377119563924805,1,1,1.04651623389771e-23,"NMF_4","5920","PLAAT4"
"6624",1.06082949942231e-25,-0.379194175660418,1,1,5.30414749711157e-22,"NMF_4","6624","FSCN1"
"2318",3.10065111337447e-24,-0.29455713444468,1,1,1.55032555668723e-20,"NMF_4","2318","FLNC"
"10158",1.70387940343573e-23,0.403405295268499,1,1,8.51939701717867e-20,"NMF_4","10158","PDZK1IP1"
"83439",9.75927759175897e-23,-0.283847673175361,1,1,4.87963879587949e-19,"NMF_4","83439","TCF7L1"
"54587",1.41996088667478e-22,-0.423682763874639,1,1,7.09980443337389e-19,"NMF_4","54587","MXRA8"
"3934",4.05074469355345e-22,0.532823815829162,1,1,2.02537234677673e-18,"NMF_4","3934","LCN2"
"4323",1.71134957662643e-21,-0.387775327350837,1,1,8.55674788313216e-18,"NMF_4","4323","MMP14"
"11167",8.62488810959747e-21,-0.341558738713714,1,1,4.31244405479873e-17,"NMF_4","11167","FSTL1"
"7078",1.19904437517656e-20,-0.470240345800428,1,1,5.99522187588279e-17,"NMF_4","7078","TIMP3"
"4035",9.51002690788414e-20,-0.32434144413017,1,1,4.75501345394207e-16,"NMF_4","4035","LRP1"
"10220",1.26334375498295e-19,-0.255245317363636,1,1,6.31671877491476e-16,"NMF_4","10220","GDF11"
"4239",1.37168062202594e-19,-0.363655420641491,1,1,6.85840311012972e-16,"NMF_4","4239","MFAP4"
"64857",2.45666544785216e-19,-0.280072411277269,1,1,1.22833272392608e-15,"NMF_4","64857","PLEKHG2"
"6382",4.49163862929423e-18,-0.29914154065108,1,1,2.24581931464711e-14,"NMF_4","6382","SDC1"
"165",5.12134162645707e-18,-0.45469480499401,1,1,2.56067081322853e-14,"NMF_4","165","AEBP1"
"2199",1.52833350869004e-17,-0.259057158773406,1,1,7.64166754345021e-14,"NMF_4","2199","FBLN2"
"92312",4.80587866992653e-17,-0.298685692888452,1,1,2.40293933496327e-13,"NMF_4","92312","MEX3A"
